Rank,School,S,Aces,Per_Set
1,Daemen,36,88,2.44
2,Penn St.,86,183,2.13
3,BYU,81,139,1.72
4,North Greenville,66,113,1.71
5,UCLA,80,127,1.59
6,Hawaii,65,103,1.58
7,NJIT,65,102,1.57
8,Saint Francis (PA),103,155,1.50
9,Erskine,88,126,1.43
10,Long Beach St.,47,67,1.43
11,Grand Canyon,72,99,1.38
12,Lewis,83,114,1.37
13,Queens (NC),102,139,1.36
14,Tusculum,65,86,1.32
15,CSUN,41,54,1.32
16,Loyola Chicago,78,102,1.31
17,Ohio St.,71,91,1.28
18,George Mason,79,100,1.27
19,Emmanuel (GA),87,110,1.26
20,Belmont Abbey,88,109,1.24
21,UC Santa Barbara,74,91,1.23
22,Purdue Fort Wayne,60,70,1.17
23,UC San Diego,68,79,1.16
24,Alderson Broaddus,39,45,1.15
25,Charleston (WV),62,71,1.15
26,Mount Olive,69,79,1.14
27,Limestone,88,99,1.12
28,Lincoln Memorial,70,77,1.10
29,Pepperdine,72,78,1.08
30,Ball St.,75,80,1.07
31,McKendree,63,67,1.06
32,Sacred Heart,68,72,1.06
33,Barton,73,77,1.05
34,St. Francis Brooklyn,24,25,1.04
35,Concordia (CA),62,64,1.03
36,Lindenwood (MO),65,66,1.02
37,UC Irvine,62,55,.89
38,King (TN),91,80,.88
39,Southern California,65,54,.83
40,Lees-McRae,75,56,.75
41,Quincy,61,40,.66
42,Stanford,61,39,.64
